Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
XAMUNCS2,journalArticle,2011,"Brazelton, William J.; Mehta, Mausmi P.; Kelley, Deborah S.; Baross, John A.",Physiological Differentiation within a Single-Species Biofilm Fueled by Serpentinization,mBio,,"2161-2129, 2150-7511",10.1128/mBio.00127-11,https://journals.asm.org/doi/10.1128/mBio.00127-11,"Carbonate chimneys at the Lost City hydrothermal ﬁeld are coated in bioﬁlms dominated by a single phylotype of archaea known as Lost City Methanosarcinales. In this study, we have detected surprising physiological complexity in singlespecies bioﬁlms, which is typically indicative of multispecies bioﬁlm communities. Multiple cell morphologies were visible within the bioﬁlms by transmission electron microscopy, and some cells contained intracellular membranes that may facilitate methane oxidation. Both methane production and oxidation were detected at 70 to 80°C and pH 9 to 10 in samples containing the single-species bioﬁlms. Both processes were stimulated by the presence of hydrogen (H2), indicating that methane production and oxidation are part of a syntrophic interaction. Metagenomic data included a sequence encoding AMP-forming acetyl coenzyme A synthetase, indicating that acetate may play a role in the methane-cycling syntrophy. A wide range of nitrogen ﬁxation genes were also identiﬁed, many of which were likely acquired via lateral gene transfer (LGT). Our results indicate that cells within these single-species bioﬁlms may have differentiated into multiple physiological roles to form multicellular communities linked by metabolic interactions and LGT. Communities similar to these Lost City bioﬁlms are likely to have existed early in the evolution of life, and we discuss how the multicellular characteristics of ancient hydrogen-fueled bioﬁlm communities could have stimulated ecological diversiﬁcation, as well as unity of biochemistry, during the earliest stages of cellular evolution. IMPORTANCE Our previous work at the Lost City hydrothermal ﬁeld has shown that its carbonate chimneys host microbial bioﬁlms dominated by a single uncultivated “species” of archaea. In this paper, we integrate evidence from these previous studies with new data on the metabolic activity and cellular morphology of these archaeal bioﬁlms. We conclude that the archaeal bioﬁlm must contain cells that are physiologically and possibly genetically differentiated with respect to each other. These results are especially interesting considering the possibility that the ﬁrst cells originated and evolved in hydrothermal systems similar to Lost City.",2011-09,11/18/21 11:38,11/18/21 11:38,11/18/21 11:38,,,4,2,,mBio,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton et al. - 2011 - Physiological Differentiation within a Single-Spec.pdf,,,,"Handelsman, Jo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHUDW8RF,journalArticle,2010,"Brazelton, W. J.; Ludwig, K. A.; Sogin, M. L.; Andreishcheva, E. N.; Kelley, D. S.; Shen, C.-C.; Edwards, R. L.; Baross, J. A.","Archaea and bacteria with surprising microdiversity show shifts in dominance over 1,000-year time scales in hydrothermal chimneys",Proceedings of the National Academy of Sciences,,"0027-8424, 1091-6490",10.1073/pnas.0905369107,http://www.pnas.org/cgi/doi/10.1073/pnas.0905369107,,2010-01-26,11/18/21 11:38,11/18/21 19:23,11/18/21 11:38,1612-1617,,4,107,,PNAS,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton et al. - 2010 - Archaea and bacteria with surprising microdiversit.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78RDBVW4,journalArticle,2017,"Dangerfield, Cody R.; Nadkarni, Nalini M.; Brazelton, William J.",Canopy soil bacterial communities altered by severing host tree limbs,PeerJ,,2167-8359,10.7717/peerj.3773,https://peerj.com/articles/3773,"Trees of temperate rainforests host a large biomass of epiphytic plants, which are associated with soils formed in the forest canopy. Falling of epiphytic material results in the transfer of carbon and nutrients from the canopy to the forest floor. This study provides the first characterization of bacterial communities in canopy soils enabled by high-depth environmental sequencing of 16S rRNA genes. Canopy soil included many of the same major taxonomic groups of Bacteria that are also found in ground soil, but canopy bacterial communities were lower in diversity and contained different operational taxonomic units. A field experiment was conducted with epiphytic material from six Acer macrophyllum trees in Olympic National Park, Washington, USA to document changes in the bacterial communities of soils associated with epiphytic material that falls to the forest floor. Bacterial diversity and composition of canopy soil was highly similar, but not identical, to adjacent ground soil two years after transfer to the forest floor, indicating that canopy bacteria are almost, but not completely, replaced by ground soil bacteria. Furthermore, soil associated with epiphytic material on branches that were severed from the host tree and suspended in the canopy contained altered bacterial communities that were distinct from those in canopy material moved to the forest floor. Therefore, the unique nature of canopy soil bacteria is determined in part by the host tree and not only by the physical environmental conditions associated with the canopy. Connection to the living tree appears to be a key feature of the canopy habitat. These results represent an initial survey of bacterial diversity of the canopy and provide a foundation upon which future studies can more fully investigate the ecological and evolutionary dynamics of these communities.",2017-09-06,11/18/21 11:38,11/18/21 19:24,11/18/21 11:38,e3773,,,5,,PeerJ,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Dangerfield et al. - 2017 - Canopy soil bacterial communities altered by sever.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEBSNN5,journalArticle,2018,"Früh-Green, Gretchen L.; Orcutt, Beth N.; Rouméjon, Stéphane; Lilley, Marvin D.; Morono, Yuki; Cotterill, Carol; Green, Sophie; Escartin, Javier; John, Barbara E.; McCaig, Andrew M.; Cannat, Mathilde; Ménez, Bénédicte; Schwarzenbach, Esther M.; Williams, Morgan J.; Morgan, Sally; Lang, Susan Q.; Schrenk, Matthew O.; Brazelton, William J.; Akizawa, Norikatsu; Boschi, Chiara; Dunkel, Kristina G.; Quéméneur, Marianne; Whattam, Scott A.; Mayhew, Lisa; Harris, Michelle; Bayrakci, Gaye; Behrmann, Jan-Hinrich; Herrero-Bervera, Emilio; Hesse, Kirsten; Liu, Hai-Quan; Ratnayake, Amila Sandaruwan; Twing, Katrina; Weis, Dominique; Zhao, Rui; Bilenker, Laura","Magmatism, serpentinization and life: Insights through drilling the Atlantis Massif (IODP Expedition 357)",Lithos,,244937,10.1016/j.lithos.2018.09.012,https://linkinghub.elsevier.com/retrieve/pii/S0024493718303335,,2018-12,11/18/21 11:38,11/18/21 11:38,11/18/21 11:38,137-155,,,323,,Lithos,"Magmatism, serpentinization and life",,,,,,,en,,,,,DOI.org (Crossref),,,,"/Users/braz/Dropbox/Papers/collections/Früh-Green et al. - 2018 - Magmatism, serpentinization and life Insights thr.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQ3V98PZ,journalArticle,2017,"Fuchsman, Clara A.; Collins, Roy Eric; Rocap, Gabrielle; Brazelton, William J.",Effect of the environment on horizontal gene transfer between bacteria and archaea,PeerJ,,2167-8359,10.7717/peerj.3865,https://peerj.com/articles/3865,"Background. Horizontal gene transfer, the transfer and incorporation of genetic material between different species of organisms, has an important but poorly quantified role in the adaptation of microbes to their environment. Previous work has shown that genome size and the number of horizontally transferred genes are strongly correlated. Here we consider how genome size confuses the quantification of horizontal gene transfer because the number of genes an organism accumulates over time depends on its evolutionary history and ecological context (e.g., the nutrient regime for which it is adapted). Results. We investigated horizontal gene transfer between archaea and bacteria by first counting reciprocal BLAST hits among 448 bacterial and 57 archaeal genomes to find shared genes. Then we used the DarkHorse algorithm, a probability-based, lineageweighted method (Podell & Gaasterland, 2007), to identify potential horizontally transferred genes among these shared genes. By removing the effect of genome size in the bacteria, we have identified bacteria with unusually large numbers of shared genes with archaea for their genome size. Interestingly, archaea and bacteria that live in anaerobic and/or high temperature conditions are more likely to share unusually large numbers of genes. However, high salt was not found to significantly affect the numbers of shared genes. Numbers of shared (genome size-corrected, reciprocal BLAST hits) and transferred genes (identified by DarkHorse) were strongly correlated. Thus archaea and bacteria that live in anaerobic and/or high temperature conditions are more likely to share horizontally transferred genes. These horizontally transferred genes are over-represented by genes involved in energy conversion as well as the transport and metabolism of inorganic ions and amino acids. Conclusions. Anaerobic and thermophilic bacteria share unusually large numbers of genes with archaea. This is mainly due to horizontal gene transfer of genes from the archaea to the bacteria. In general, these transfers are from archaea that live in similar oxygen and temperature conditions as the bacteria that receive the genes. Potential hotspots of horizontal gene transfer between archaea and bacteria include hot springs, marine sediments, and oil wells. Cold spots for horizontal transfer included dilute, aerobic, mesophilic environments such as marine and freshwater surface waters.",2017-09-29,11/18/21 11:39,11/18/21 19:24,11/18/21 11:39,e3865,,,5,,PeerJ,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Fuchsman et al. - 2017 - Effect of the environment on horizontal gene trans.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUZLK95A,journalArticle,2018,"Lang, Susan Q.; Früh-Green, Gretchen L.; Bernasconi, Stefano M.; Brazelton, William J.; Schrenk, Matthew O.; McGonigle, Julia M.",Deeply-sourced formate fuels sulfate reducers but not methanogens at Lost City hydrothermal field,Scientific Reports,,2045-2322,10.1038/s41598-017-19002-5,http://www.nature.com/articles/s41598-017-19002-5,,2018-12,11/18/21 11:39,11/18/21 11:39,11/18/21 11:39,755,,1,8,,Sci Rep,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Lang et al. - 2018 - Deeply-sourced formate fuels sulfate reducers but .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBTRRBUB,journalArticle,2021,"Lang, Susan Q.; Lilley, Marvin D.; Baumberger, Tamara; Früh-Green, Gretchen L.; Walker, Sharon L.; Brazelton, William J.; Kelley, Deborah S.; Elend, Mitchell; Butterfield, David A.; Mau, Aaron J.",Extensive decentralized hydrogen export from the Atlantis Massif,Geology,,"0091-7613, 1943-2682",10.1130/G48322.1,https://pubs.geoscienceworld.org/geology/article/49/7/851/595965/Extensive-decentralized-hydrogen-export-from-the,"Hydrogen is an important energy source for subsurface microbial communities, but its availability beyond the flow focused through hydrothermal chimneys is largely unknown. We report the widespread export of H2 across the Atlantis Massif oceanic core complex (30°N, Mid-Atlantic Ridge; up to 44 nM), which is distinct from the circulation system feeding the Lost City Hydrothermal Field (LCHF) on the massif’s southern wall. Methane (CH4) abundances are generally low to undetectable (<3 nM) in fluids that are not derived from the LCHF. Reducing fluids exit the seafloor over a wide geographical area and depth range, including the summit of the massif and along steep areas of mass wasting east of the field. The depth of the fluids in the water column and their H2/CH4 ratios indicate that some are sourced separately from the LCHF. We argue that extensive H2 export is the natural consequence of fluid flow pathways strongly influenced by tectonic features and the volume and density changes that occur when ultramafic rocks react to form serpentinites, producing H2 as a by-product. Furthermore, the circulation of H2-rich fluids through uplifted mantle rocks at moderate temperatures provides geographically expansive and stable environmental conditions for the early evolution of biochemical pathways. These results provide insight into the spatial extent of H2- and CH4-bearing fluids associated with serpentinization, independent of the focused flow emanating from the LCHF.",2021-07-01,11/18/21 11:39,11/18/21 19:25,11/18/21 11:39,851-856,,7,49,,Geol,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Lang et al. - 2021 - Extensive decentralized hydrogen export from the A2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B6IN9VT,journalArticle,2020,"Lang, Susan Q.; Brazelton, William J.",Habitability of the marine serpentinite subsurface: a case study of the Lost City hydrothermal field,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",,"1364-503X, 1471-2962",10.1098/rsta.2018.0429,https://royalsocietypublishing.org/doi/10.1098/rsta.2018.0429,"The Lost City hydrothermal field is a dramatic example of the biological potential of serpentinization. Microbial life is prevalent throughout the Lost City chimneys, powered by the hydrogen gas and organic molecules produced by serpentinization and its associated geochemical reactions. Microbial life in the serpentinite subsurface below the Lost City chimneys, however, is unlikely to be as dense or active. The marine serpentinite subsurface poses serious challenges for microbial activity, including low porosities, the combination of stressors of elevated temperature, high pH and a lack of bioavailable ∑CO               2               . A better understanding of the biological opportunities and challenges in serpentinizing systems would provide important insights into the total habitable volume of Earth's crust and for the potential of the origin and persistence of life in Earth's subsurface environments. Furthermore, the limitations to life in serpentinizing subsurface environments on Earth have significant implications for the habitability of subsurface environments on ocean worlds such as Europa and Enceladus. Here, we review the requirements and limitations of life in serpentinizing systems, informed by our research at the Lost City and the underwater mountain on which it resides, the Atlantis Massif.                          This article is part of a discussion meeting issue ‘Serpentinite in the Earth System’.",2020-02-21,11/18/21 11:39,11/18/21 11:39,11/18/21 11:39,20180429,,2165,378,,Phil. Trans. R. Soc. A.,Habitability of the marine serpentinite subsurface,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Lang and Brazelton - 2020 - Habitability of the marine serpentinite subsurface.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G96MYVRI,journalArticle,2020,"McGonigle, Julia M.; Lang, Susan Q.; Brazelton, William J.",Genomic Evidence for Formate Metabolism by <i>Chloroflexi</i> as the Key to Unlocking Deep Carbon in Lost City Microbial Ecosystems,Applied and Environmental Microbiology,,"0099-2240, 1098-5336",10.1128/AEM.02583-19,https://journals.asm.org/doi/10.1128/AEM.02583-19,"The Lost City hydrothermal ﬁeld on the Mid-Atlantic Ridge supports dense microbial life on the lofty calcium carbonate chimney structures. The vent ﬁeld is fueled by chemical reactions between the ultramaﬁc rock under the chimneys and ambient seawater. These serpentinization reactions provide reducing power (as hydrogen gas) and organic compounds that can serve as microbial food; the most abundant of these are methane and formate. Previous studies have characterized the interior of the chimneys as a single-species bioﬁlm inhabited by the Lost City Methanosarcinales, but they also indicated that this methanogen is unable to metabolize formate. The new metagenomic results presented here indicate that carbon cycling in these Lost City chimney bioﬁlms could depend on the metabolism of formate by Chloroﬂexi populations. Additionally, we present evidence for metabolically diverse, formate-utilizing Sulfurovum populations and new genomic and phylogenetic insights into the unique Lost City Methanosarcinales.",2020-04,11/18/21 11:39,11/18/21 11:39,11/18/21 11:39,,,8,86,,Appl Environ Microbiol,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/McGonigle et al. - 2020 - Genomic Evidence for Formate Metabolism by Chlo.pdf,,,,"Parales, Rebecca E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QMVK43VW,journalArticle,2019,"McGonigle, Julia M; Bernau, Jeremiah A; Bowen, Brenda B; Brazelton, William J",Robust Archaeal and Bacterial Communities Inhabit Shallow Subsurface Sediments of the Bonneville Salt Flats,mSphere,,,10.1128/mSphere.00378-19,https://doi.org/10.1128/mSphere.00378-19,"We report the ﬁrst census of natural microbial communities of the Bonneville Salt Flats (BSF), a perennial salt pan at the Utah-Nevada border. Environmental DNA sequencing of archaeal and bacterial 16S rRNA genes was conducted on samples from multiple evaporite sediment layers collected from the upper 30 cm of the surface salt crust. Our results show that at the time of sampling (September 2016), BSF hosted a robust microbial community dominated by diverse halobacteria and Salinibacter species. Sequences identical to Geitlerinema sp. strain PCC 9228, an anoxygenic cyanobacterium that uses sulﬁde as the electron donor for photosynthesis, are also abundant in many samples. We identiﬁed taxonomic groups enriched in each layer of the salt crust sediment and revealed that the upper gypsum sediment layer found immediately under the uppermost surface halite contains a robust microbial community. In these sediments, we found an increased presence of Thermoplasmatales, Hadesarchaeota, Nanoarchaeaeota, Acetothermia, Desulfovermiculus, Halanaerobiales, Bacteroidetes, and Rhodovibrio. This study provides insight into the diversity, spatial heterogeneity, and geologic context of a surprisingly complex microbial ecosystem within this macroscopically sterile landscape.",2019-01-01,11/18/21 11:39,11/26/21 10:06,,12,,4,4,,mSphere,,,,,,,,en,,,,,Zotero,,,,/Users/braz/Dropbox/Papers/collections/McGonigle et al. - 2019 - Robust Archaeal and Bacterial Communities Inhabit .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZZZNTB8S,journalArticle,2013,"Méhay, S.; Früh-Green, G. L.; Lang, S. Q.; Bernasconi, S. M.; Brazelton, W. J.; Schrenk, M. O.; Schaeffer, P.; Adam, P.",Record of archaeal activity at the serpentinite-hosted Lost City Hydrothermal Field,Geobiology,,14724677,10.1111/gbi.12062,https://onlinelibrary.wiley.com/doi/10.1111/gbi.12062,"Samples of young, outer surfaces of brucite–carbonate deposits from the ultramaﬁc-hosted Lost City hydrothermal ﬁeld were analyzed for DNA and lipid biomarker distributions and for carbon and hydrogen stable isotope compositions of the lipids. Methane-cycling archaeal communities, notably the Lost City Methanosarcinales (LCMS) phylotype, are speciﬁcally addressed. Lost City is unlike all other hydrothermal systems known to date and is characterized by metal- and CO2-poor, high pH ﬂuids with high H2 and CH4 contents resulting from serpentinization processes at depth. The archaeal fraction of the microbial community varies widely within the Lost City chimneys, from 1–81% and covaries with concentrations of hydrogen within the ﬂuids. Archaeal lipids include isoprenoid glycerol di- and tetraethers and C25 and C30 isoprenoid hydrocarbons (pentamethylicosane derivatives – PMIs – and squalenoids). In particular, unsaturated PMIs and squalenoids, attributed to the LCMS archaea, were identiﬁed for the ﬁrst time in the carbonate deposits at Lost City and probably record processes exclusively occurring at the surface of the chimneys. The carbon isotope compositions of PMIs and squalenoids are remarkably heterogeneous across samples and show highly 13C-enriched signatures reaching d13C values of up to +24.6&. Unlike other environments in which similar structural and isotopic lipid heterogeneity has been observed and attributed to diversity in the archaeal assemblage, the lipids here appear to be synthesized solely by the LCMS. Some of the variations in lipid isotope signatures may, in part, be due to unusual isotopic fractionation during biosynthesis under extreme conditions. However, we argue that the diversity in archaeal abundances, lipid structure and carbon isotope composition rather reﬂects the ability of the LCMS archaeal bioﬁlms to adapt to chemical gradients in the hydrothermal chimneys and possibly to perform either methanotrophy or methanogenesis using dissolved inorganic carbon, methane or formate as a function of the prevailing environmental conditions.",2013-11,11/18/21 11:39,11/18/21 19:25,11/18/21 11:39,570-592,,6,11,,Geobiol,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Méhay et al. - 2013 - Record of archaeal activity at the serpentinite-ho.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3HLRBIJQ,journalArticle,2014,"Morrill, Penny L.; Brazelton, William J.; Kohl, Lukas; Rietze, Amanda; Miles, Sarah M.; Kavanagh, Heidi; Schrenk, Matthew O.; Ziegler, Susan E.; Lang, Susan Q.","Investigations of potential microbial methanogenic and carbon monoxide utilization pathways in ultra-basic reducing springs associated with present-day continental serpentinization: the Tablelands, NL, CAN",Frontiers in Microbiology,,1664-302X,10.3389/fmicb.2014.00613,http://journal.frontiersin.org/article/10.3389/fmicb.2014.00613/abstract,"Ultra-basic reducing springs at continental sites of serpentinization act as portals into the biogeochemistry of a subsurface environment with H2 and CH4 present. Very little, however, is known about the carbon substrate utilization, energy sources, and metabolic pathways of the microorganisms that live in this ultra-basic environment. The potential for microbial methanogenesis with bicarbonate, formate, acetate, and propionate precursors and carbon monoxide (CO) utilization pathways were tested in laboratory experiments by adding substrates to water and sediment from the Tablelands, NL, CAD, a site of present-day continental serpentinization. Microbial methanogenesis was not observed after bicarbonate, formate, acetate, or propionate addition. CO was consumed in the live experiments but not in the killed controls and the residual CO in the live experiments became enriched in 13C. The average isotopic enrichment factor resulting from this microbial utilization of CO was estimated to be 11.2 ± 0.2 . Phospholipid fatty acid concentrations and δ13C values suggest limited incorporation of carbon from CO into microbial lipids. This indicates that in our experiments, CO was used primarily as an energy source, but not for biomass growth. Environmental DNA sequencing of spring ﬂuids collected at the same time as the addition experiments yielded a large proportion of Hydrogenophaga-related sequences, which is consistent with previous metagenomic data indicating the potential for these taxa to utilize CO.",2014-11-13,11/18/21 11:39,11/18/21 11:39,11/18/21 11:39,,,,5,,Front. Microbiol.,Investigations of potential microbial methanogenic and carbon monoxide utilization pathways in ultra-basic reducing springs associated with present-day continental serpentinization,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Morrill et al. - 2014 - Investigations of potential microbial methanogenic.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7HLX3NVG,journalArticle,2020,"Motamedi, Shahrzad; Orcutt, Beth N; Früh-Green, Gretchen L; Twing, Katrina I; Pendleton, H Lizethe; Brazelton, William J",Microbial Residents of the Atlantis Massif’s Shallow Serpentinite Subsurface,Applied and Environmental Microbiology,,,10.1128/AEM.00356-20,https://doi.org/10.1128/AEM.00356-20,"The Atlantis Massif rises 4,000 m above the seaﬂoor near the MidAtlantic Ridge and consists of rocks uplifted from Earth’s lower crust and upper mantle. Exposure of the mantle rocks to seawater leads to their alteration into serpentinites. These aqueous geochemical reactions, collectively known as the process of serpentinization, are exothermic and are associated with the release of hydrogen gas (H2), methane (CH4), and small organic molecules. The biological consequences of this ﬂux of energy and organic compounds from the Atlantis Massif were explored by International Ocean Discovery Program (IODP) Expedition 357, which used seabed drills to collect continuous sequences of shallow (Ͻ16 m below seaﬂoor) marine serpentinites and maﬁc assemblages. Here, we report the census of microbial diversity in samples of the drill cores, as measured by environmental 16S rRNA gene amplicon sequencing. The problem of contamination of subsurface samples was a primary concern during all stages of this project, starting from the initial study design, continuing to the collection of samples from the seaﬂoor, handling the samples shipboard and in the lab, preparing the samples for DNA extraction, and analyzing the DNA sequence data. To distinguish endemic microbial taxa of serpentinite subsurface rocks from seawater residents and other potential contaminants, the distributions of individual 16S rRNA gene sequences among all samples were evaluated, taking into consideration both presence/absence and relative abundances. Our results highlight a few candidate residents of the shallow serpentinite subsurface, including uncultured representatives of the Thermoplasmata, Acidobacteria, Acidimicrobia, and Chloroﬂexi.",2020-01-01,11/18/21 11:39,11/26/21 10:06,,15,,11,86,,Appl Environ Microbiol,,,,,,,,en,,,,,Zotero,,,,/Users/braz/Dropbox/Papers/collections/Motamedi et al. - 2020 - Microbial Residents of the Atlantis Massif’s Shall.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4PM6GXX7,journalArticle,2020,"Seyler, Lauren M; Brazelton, William J; McLean, Craig; Putman, Lindsay I; Hyer, Alex; Kubo, Michael D Y; Hoehler, Tori; Cardace, Dawn; Schrenk, Matthew O",Carbon Assimilation Strategies in Ultrabasic Groundwater: Clues from the Integrated Study of a Serpentinization-Influenced Aquifer,mSystems,,,10.1128/mSystems.00607-19,https://doi.org/10.1128/mSystems.00607-19,"Serpentinization is a low-temperature metamorphic process by which ultramaﬁc rock chemically reacts with water. Such reactions provide energy and materials that may be harnessed by chemosynthetic microbial communities at hydrothermal springs and in the subsurface. However, the biogeochemistry mediated by microbial populations that inhabit these environments is understudied and complicated by overlapping biotic and abiotic processes. We applied metagenomics, metatranscriptomics, and untargeted metabolomics techniques to environmental samples taken from the Coast Range Ophiolite Microbial Observatory (CROMO), a subsurface observatory consisting of 12 wells drilled into the ultramaﬁc and serpentinite mélange of the Coast Range Ophiolite in California. Using a combination of DNA and RNA sequence data and mass spectrometry data, we found evidence for several carbon ﬁxation and assimilation strategies, including the Calvin-Benson-Bassham cycle, the reverse tricarboxylic acid cycle, the reductive acetyl coenzyme A (acetyl-CoA) pathway, and methylotrophy, in the microbial communities inhabiting the serpentinite-hosted aquifer. Our data also suggest that the microbial inhabitants of CROMO use products of the serpentinization process, including methane and formate, as carbon sources in a hyperalkaline environment where dissolved inorganic carbon is unavailable.",2020-01-01,11/18/21 11:39,11/26/21 10:07,,17,,2,5,,mSystems,,,,,,,,en,,,,,Zotero,,,,/Users/braz/Dropbox/Papers/collections/Seyler et al. - 2020 - Carbon Assimilation Strategies in Ultrabasic Groun.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L49KIG77,journalArticle,2020,"Orcutt, Beth N.; Bradley, James A.; Brazelton, William J.; Estes, Emily R.; Goordial, Jacqueline M.; Huber, Julie A.; Jones, Rose M.; Mahmoudi, Nagissa; Marlow, Jeffrey J.; Murdock, Sheryl; Pachiadaki, Maria",Impacts of deep‐sea mining on microbial ecosystem services,Limnology and Oceanography,,"0024-3590, 1939-5590",10.1002/lno.11403,https://onlinelibrary.wiley.com/doi/10.1002/lno.11403,"Interest in extracting mineral resources from the seaﬂoor through deep-sea mining has accelerated in the past decade, driven by consumer demand for various metals like zinc, cobalt, and rare earth elements. While there are ongoing studies evaluating potential environmental impacts of deep-sea mining activities, these focus primarily on impacts to animal biodiversity. The microscopic spectrum of seaﬂoor life and the services that this life provides in the deep sea are rarely considered explicitly. In April 2018, scientists met to deﬁne the microbial ecosystem services that should be considered when assessing potential impacts of deep-sea mining, and to provide recommendations for how to evaluate and safeguard these services. Here, we indicate that the potential impacts of mining on microbial ecosystem services in the deep sea vary substantially, from minimal expected impact to loss of services that cannot be remedied by protected area offsets. For example, we (1) describe potential major losses of microbial ecosystem services at active hydrothermal vent habitats impacted by mining, (2) speculate that there could be major ecosystem service degradation at inactive massive sulﬁde deposits without extensive mitigation efforts, (3) suggest minor impacts to carbon sequestration within manganese nodule ﬁelds coupled with potentially important impacts to primary production capacity, and (4) surmise that assessment of impacts to microbial ecosystem services at seamounts with ferromanganese crusts is too poorly understood to be deﬁnitive. We conclude by recommending that baseline assessments of microbial diversity, biomass, and, importantly, biogeochemical function need to be considered in environmental impact assessments of deep-sea mining.",2020-07,11/18/21 11:39,11/18/21 11:39,11/18/21 11:39,1489-1510,,7,65,,Limnol Oceanogr,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Orcutt et al. - 2020 - Impacts of deep‐sea mining on microbial ecosystem .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
